Subject,LOCATION,Country,FREQUENCY,TIME,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1981-Q3,PC,Percentage,0,Units,,,15.48667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1981-Q4,PC,Percentage,0,Units,,,14.95,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1982-Q1,PC,Percentage,0,Units,,,17.40667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1982-Q2,PC,Percentage,0,Units,,,19.47,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1982-Q3,PC,Percentage,0,Units,,,16.64,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1982-Q4,PC,Percentage,0,Units,,,13.82,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1983-Q1,PC,Percentage,0,Units,,,13.22667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1983-Q2,PC,Percentage,0,Units,,,13.43667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1983-Q3,PC,Percentage,0,Units,,,12.00667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1983-Q4,PC,Percentage,0,Units,,,10.12667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1984-Q1,PC,Percentage,0,Units,,,11.85667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1984-Q2,PC,Percentage,0,Units,,,13.49,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1984-Q3,PC,Percentage,0,Units,,,11.46333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1984-Q4,PC,Percentage,0,Units,,,11.59,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1985-Q1,PC,Percentage,0,Units,,,14.15,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1985-Q2,PC,Percentage,0,Units,,,15.69,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1985-Q3,PC,Percentage,0,Units,,,16.05667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1985-Q4,PC,Percentage,0,Units,,,18.03333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1986-Q1,PC,Percentage,0,Units,,,17.9,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1986-Q2,PC,Percentage,0,Units,,,15.05667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1986-Q3,PC,Percentage,0,Units,,,16.76667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1986-Q4,PC,Percentage,0,Units,,,16.08333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1987-Q1,PC,Percentage,0,Units,,,16.32333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1987-Q2,PC,Percentage,0,Units,,,14.3,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1987-Q3,PC,Percentage,0,Units,,,12.41,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1987-Q4,PC,Percentage,0,Units,,,11.96667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1988-Q1,PC,Percentage,0,Units,,,10.98333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1988-Q2,PC,Percentage,0,Units,,,12.25667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1988-Q3,PC,Percentage,0,Units,,,13.34667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1988-Q4,PC,Percentage,0,Units,,,14.61333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1989-Q1,PC,Percentage,0,Units,,,16.45,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1989-Q2,PC,Percentage,0,Units,,,17.78333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1989-Q3,PC,Percentage,0,Units,,,18.04667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1989-Q4,PC,Percentage,0,Units,,,18.16667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1990-Q1,PC,Percentage,0,Units,,,16.45667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1990-Q2,PC,Percentage,0,Units,,,15.07,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1990-Q3,PC,Percentage,0,Units,,,14.09,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1990-Q4,PC,Percentage,0,Units,,,12.55667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1991-Q1,PC,Percentage,0,Units,,,11.68,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1991-Q2,PC,Percentage,0,Units,,,10.82333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1991-Q3,PC,Percentage,0,Units,,,10.01667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1991-Q4,PC,Percentage,0,Units,,,8.383333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1992-Q1,PC,Percentage,0,Units,,,7.493333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1992-Q2,PC,Percentage,0,Units,,,6.72,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1992-Q3,PC,Percentage,0,Units,,,5.77,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1992-Q4,PC,Percentage,0,Units,,,5.88,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1993-Q1,PC,Percentage,0,Units,,,5.693333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1993-Q2,PC,Percentage,0,Units,,,5.213333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1993-Q3,PC,Percentage,0,Units,,,4.896667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1993-Q4,PC,Percentage,0,Units,,,4.803333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1994-Q1,PC,Percentage,0,Units,,,4.83,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1994-Q2,PC,Percentage,0,Units,,,4.963333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1994-Q3,PC,Percentage,0,Units,,,5.646667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1994-Q4,PC,Percentage,0,Units,,,7.186666,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1995-Q1,PC,Percentage,0,Units,,,8.193334,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1995-Q2,PC,Percentage,0,Units,,,7.713333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1995-Q3,PC,Percentage,0,Units,,,7.543334,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1995-Q4,PC,Percentage,0,Units,,,7.453333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1996-Q1,PC,Percentage,0,Units,,,7.486667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1996-Q2,PC,Percentage,0,Units,,,7.563334,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1996-Q3,PC,Percentage,0,Units,,,7.13,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1996-Q4,PC,Percentage,0,Units,,,6.426667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1997-Q1,PC,Percentage,0,Units,,,5.926667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1997-Q2,PC,Percentage,0,Units,,,5.753334,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1997-Q3,PC,Percentage,0,Units,,,4.953333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1997-Q4,PC,Percentage,0,Units,,,4.95,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1998-Q1,PC,Percentage,0,Units,,,4.973333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1998-Q2,PC,Percentage,0,Units,,,5.066667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1998-Q3,PC,Percentage,0,Units,,,5.13,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1998-Q4,PC,Percentage,0,Units,,,4.836667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1999-Q1,PC,Percentage,0,Units,,,4.79,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1999-Q2,PC,Percentage,0,Units,,,4.85,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1999-Q3,PC,Percentage,0,Units,,,4.94,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1999-Q4,PC,Percentage,0,Units,,,5.466667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2000-Q1,PC,Percentage,0,Units,,,5.783333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2000-Q2,PC,Percentage,0,Units,,,6.193333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2000-Q3,PC,Percentage,0,Units,,,6.42,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2000-Q4,PC,Percentage,0,Units,,,6.313334,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2001-Q1,PC,Percentage,0,Units,,,5.546667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2001-Q2,PC,Percentage,0,Units,,,4.906667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2001-Q3,PC,Percentage,0,Units,,,4.846667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2001-Q4,PC,Percentage,0,Units,,,4.296667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2002-Q1,PC,Percentage,0,Units,,,4.343333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2002-Q2,PC,Percentage,0,Units,,,4.833333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2002-Q3,PC,Percentage,0,Units,,,4.953333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2002-Q4,PC,Percentage,0,Units,,,4.856667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2003-Q1,PC,Percentage,0,Units,,,4.77,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2003-Q2,PC,Percentage,0,Units,,,4.746666,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2003-Q3,PC,Percentage,0,Units,,,4.816667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2003-Q4,PC,Percentage,0,Units,,,5.25,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2004-Q1,PC,Percentage,0,Units,,,5.543334,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2004-Q2,PC,Percentage,0,Units,,,5.513333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2004-Q3,PC,Percentage,0,Units,,,5.44,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2004-Q4,PC,Percentage,0,Units,,,5.416667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2005-Q1,PC,Percentage,0,Units,,,5.62,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2005-Q2,PC,Percentage,0,Units,,,5.696667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2005-Q3,PC,Percentage,0,Units,,,5.63,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2005-Q4,PC,Percentage,0,Units,,,5.63,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2006-Q1,PC,Percentage,0,Units,,,5.616667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2006-Q2,PC,Percentage,0,Units,,,5.84,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2006-Q3,PC,Percentage,0,Units,,,6.15,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2006-Q4,PC,Percentage,0,Units,,,6.346667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2007-Q1,PC,Percentage,0,Units,,,6.41,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2007-Q2,PC,Percentage,0,Units,,,6.423333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2007-Q3,PC,Percentage,0,Units,,,6.72,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2007-Q4,PC,Percentage,0,Units,,,7.116667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2008-Q1,PC,Percentage,0,Units,,,7.59,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2008-Q2,PC,Percentage,0,Units,,,7.8,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2008-Q3,PC,Percentage,0,Units,,,7.443333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2008-Q4,PC,Percentage,0,Units,,,5.06,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2009-Q1,PC,Percentage,0,Units,,,3.353333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2009-Q2,PC,Percentage,0,Units,,,3.16,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2009-Q3,PC,Percentage,0,Units,,,3.27,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2009-Q4,PC,Percentage,0,Units,,,3.953333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2010-Q1,PC,Percentage,0,Units,,,4.23,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2010-Q2,PC,Percentage,0,Units,,,4.75,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2010-Q3,PC,Percentage,0,Units,,,4.8,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2010-Q4,PC,Percentage,0,Units,,,4.953333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2011-Q1,PC,Percentage,0,Units,,,4.933333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2011-Q2,PC,Percentage,0,Units,,,4.963333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2011-Q3,PC,Percentage,0,Units,,,4.876667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2011-Q4,PC,Percentage,0,Units,,,4.62,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2012-Q1,PC,Percentage,0,Units,,,4.406667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2012-Q2,PC,Percentage,0,Units,,,3.783333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2012-Q3,PC,Percentage,0,Units,,,3.553333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2012-Q4,PC,Percentage,0,Units,,,3.17,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2013-Q1,PC,Percentage,0,Units,,,2.996667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2013-Q2,PC,Percentage,0,Units,,,2.88,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2013-Q3,PC,Percentage,0,Units,,,2.646667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2013-Q4,PC,Percentage,0,Units,,,2.586667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2014-Q1,PC,Percentage,0,Units,,,2.633333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2014-Q2,PC,Percentage,0,Units,,,2.69,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2014-Q3,PC,Percentage,0,Units,,,2.646667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2014-Q4,PC,Percentage,0,Units,,,2.74,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2015-Q1,PC,Percentage,0,Units,,,2.453333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2015-Q2,PC,Percentage,0,Units,,,2.183333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2015-Q3,PC,Percentage,0,Units,,,2.15,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2015-Q4,PC,Percentage,0,Units,,,2.236667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2016-Q1,PC,Percentage,0,Units,,,2.296667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2016-Q2,PC,Percentage,0,Units,,,2.083333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2016-Q3,PC,Percentage,0,Units,,,1.806667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2016-Q4,PC,Percentage,0,Units,,,1.76,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2017-Q1,PC,Percentage,0,Units,,,1.783333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2017-Q2,PC,Percentage,0,Units,,,1.74,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2017-Q3,PC,Percentage,0,Units,,,1.706667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2017-Q4,PC,Percentage,0,Units,,,1.73,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2018-Q1,PC,Percentage,0,Units,,,1.83,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2018-Q2,PC,Percentage,0,Units,,,2.03,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2018-Q3,PC,Percentage,0,Units,,,1.97,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2018-Q4,PC,Percentage,0,Units,,,1.963333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2019-Q1,PC,Percentage,0,Units,,,1.953333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2019-Q2,PC,Percentage,0,Units,,,1.503333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2019-Q3,PC,Percentage,0,Units,,,1.023333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2019-Q4,PC,Percentage,0,Units,,,0.8966666,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2020-Q1,PC,Percentage,0,Units,,,0.77,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2020-Q2,PC,Percentage,0,Units,,,0.1233333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2020-Q3,PC,Percentage,0,Units,,,0.09666666,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2020-Q4,PC,Percentage,0,Units,,,0.03666667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2021-Q1,PC,Percentage,0,Units,,,0.01666667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2021-Q2,PC,Percentage,0,Units,,,0.03666667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2021-Q3,PC,Percentage,0,Units,,,0.01333333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2021-Q4,PC,Percentage,0,Units,,,0.04666667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2022-Q1,PC,Percentage,0,Units,,,0.1033333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2022-Q2,PC,Percentage,0,Units,,,1.003333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2022-Q3,PC,Percentage,0,Units,,,2.38,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2022-Q4,PC,Percentage,0,Units,,,3.06,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2023-Q1,PC,Percentage,0,Units,,,3.473333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2023-Q2,PC,Percentage,0,Units,,,3.936667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2023-Q3,PC,Percentage,0,Units,,,4.193333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,2023-Q4,PC,Percentage,0,Units,,,4.313334,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1989-Q3,PC,Percentage,0,Units,,,7.733333,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1989-Q4,PC,Percentage,0,Units,,,9,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1990-Q1,PC,Percentage,0,Units,,,8.983334,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1990-Q2,PC,Percentage,0,Units,,,8.86,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1990-Q3,PC,Percentage,0,Units,,,8.793333,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1990-Q4,PC,Percentage,0,Units,,,9.22,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1991-Q1,PC,Percentage,0,Units,,,9.453333,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1991-Q2,PC,Percentage,0,Units,,,9.28,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1991-Q3,PC,Percentage,0,Units,,,9.443334,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1991-Q4,PC,Percentage,0,Units,,,9.676666,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1992-Q1,PC,Percentage,0,Units,,,9.723333,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1992-Q2,PC,Percentage,0,Units,,,9.69,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1992-Q3,PC,Percentage,0,Units,,,9.673333,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1992-Q4,PC,Percentage,0,Units,,,8.753333,,
"Short-term interest rates, Per cent per annum",AUT,Austria,Q,1993-Q1,PC,Percentage,0,Units,,,8.056666,,
